headline,pubDate,tokens,lemmatized_tokens,source,voice_spacy,Described Victim,Suffering Label,Perpetrator,mentions_death,Implicit Perpetrator,week,voice_gpt4
Hostages freed by Hamas tell of emotional and physical scars,2023-11-28,"['Hostages', 'freed', 'by', 'Hamas', 'tell', 'of', 'emotional', 'and', 'physical', 'scars']","['Hostages', 'freed', 'by', 'Hamas', 'tell', 'of', 'emotional', 'and', 'physical', 'scar']",bbc,unclear,1.0,Israeli suffering,hamas,0,Hamas,2023-11-27,passive
"Untreated diseases could kill more than bombings in Gaza, WHO warns",2023-11-28,"['Untreated', 'diseases', 'could', 'kill', 'more', 'than', 'bombings', 'in', 'Gaza,', 'WHO', 'warns']","['Untreated', 'disease', 'could', 'kill', 'more', 'than', 'bombing', 'in', 'Gaza,', 'WHO', 'warns']",bbc,active,0.0,Palestinian suffering,none,1,Other,2023-11-27,passive
Here’s What We Know About the Hostages Released on Tuesday,2023-11-28,"['Here’s', 'What', 'We', 'Know', 'About', 'the', 'Hostages', 'Released', 'on', 'Tuesday']","['Here’s', 'What', 'We', 'Know', 'About', 'the', 'Hostages', 'Released', 'on', 'Tuesday']",nyt,active,,No suffering described,none,0,Other,2023-11-27,active
C.I.A. Director Arrives in Qatar for Talks on Hostage Releases,2023-11-28,"['C.I.A.', 'Director', 'Arrives', 'in', 'Qatar', 'for', 'Talks', 'on', 'Hostage', 'Releases']","['C.I.A.', 'Director', 'Arrives', 'in', 'Qatar', 'for', 'Talks', 'on', 'Hostage', 'Releases']",nyt,active,,No suffering described,none,0,Other,2023-11-27,active
"Freed Israeli Hostages Feel Cycles of Emotion After Captivity, Families Say",2023-11-28,"['Freed', 'Israeli', 'Hostages', 'Feel', 'Cycles', 'of', 'Emotion', 'After', 'Captivity,', 'Families', 'Say']","['Freed', 'Israeli', 'Hostages', 'Feel', 'Cycles', 'of', 'Emotion', 'After', 'Captivity,', 'Families', 'Say']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-11-27,passive
"The Israel-Hamas war is deadly for journalists. Lives are being lost, and truth | Margaret Sullivan",2023-11-28,"['The', 'Israel-Hamas', 'war', 'is', 'deadly', 'for', 'journalists.', 'Lives', 'are', 'being', 'lost,', 'and', 'truth', '|', 'Margaret', 'Sullivan']","['The', 'Israel-Hamas', 'war', 'is', 'deadly', 'for', 'journalists.', 'Lives', 'are', 'being', 'lost,', 'and', 'truth', '|', 'Margaret', 'Sullivan']",guardian,passive,,No suffering described,none,0,Other,2023-11-27,passive
Here are the statuses of the hostages taken into Gaza on Oct. 7.,2023-11-28,"['Here', 'are', 'the', 'statuses', 'of', 'the', 'hostages', 'taken', 'into', 'Gaza', 'on', 'Oct.', '7.']","['Here', 'are', 'the', 'status', 'of', 'the', 'hostage', 'taken', 'into', 'Gaza', 'on', 'Oct.', '7.']",nyt,active,,No suffering described,none,0,Other,2023-11-27,active
More Hostages Were Released From Gaza,2023-11-28,"['More', 'Hostages', 'Were', 'Released', 'From', 'Gaza']","['More', 'Hostages', 'Were', 'Released', 'From', 'Gaza']",nyt,passive,,No suffering described,none,0,Hamas,2023-11-27,passive
Relatives describe the trauma of child hostages freed by Hamas.,2023-11-28,"['Relatives', 'describe', 'the', 'trauma', 'of', 'child', 'hostages', 'freed', 'by', 'Hamas.']","['Relatives', 'describe', 'the', 'trauma', 'of', 'child', 'hostage', 'freed', 'by', 'Hamas.']",nyt,active,0.0,Palestinian suffering,hamas,0,Hamas,2023-11-27,passive
Hamas Releases 12 More Hostages as Nations’ Spy Chiefs Go to Qatar for Talks,2023-11-29,"['Hamas', 'Releases', '12', 'More', 'Hostages', 'as', 'Nations’', 'Spy', 'Chiefs', 'Go', 'to', 'Qatar', 'for', 'Talks']","['Hamas', 'Releases', '12', 'More', 'Hostages', 'a', 'Nations’', 'Spy', 'Chiefs', 'Go', 'to', 'Qatar', 'for', 'Talks']",nyt,active,,No suffering described,hamas,0,Hamas,2023-11-27,active
Aunt of 4-Year-Old Israeli Hostage Talks About Her Time in Captivity,2023-11-29,"['Aunt', 'of', '4-Year-Old', 'Israeli', 'Hostage', 'Talks', 'About', 'Her', 'Time', 'in', 'Captivity']","['Aunt', 'of', '4-Year-Old', 'Israeli', 'Hostage', 'Talks', 'About', 'Her', 'Time', 'in', 'Captivity']",nyt,unclear,1.0,Israeli suffering,none,0,Other,2023-11-27,active
Two Palestinian boys killed during Israeli raid in West Bank,2023-11-29,"['Two', 'Palestinian', 'boys', 'killed', 'during', 'Israeli', 'raid', 'in', 'West', 'Bank']","['Two', 'Palestinian', 'boy', 'killed', 'during', 'Israeli', 'raid', 'in', 'West', 'Bank']",bbc,unclear,0.0,Palestinian suffering,israel,1,Israel,2023-11-27,passive
"Israeli Forces Kill 4 in West Bank, Palestinian Officials Say",2023-11-29,"['Israeli', 'Forces', 'Kill', '4', 'in', 'West', 'Bank,', 'Palestinian', 'Officials', 'Say']","['Israeli', 'Forces', 'Kill', '4', 'in', 'West', 'Bank,', 'Palestinian', 'Officials', 'Say']",nyt,active,0.0,Palestinian suffering,israel,1,Israel,2023-11-27,passive
Bedouin family desperate for news on teenagers held hostage in Gaza,2023-11-30,"['Bedouin', 'family', 'desperate', 'for', 'news', 'on', 'teenagers', 'held', 'hostage', 'in', 'Gaza']","['Bedouin', 'family', 'desperate', 'for', 'news', 'on', 'teenager', 'held', 'hostage', 'in', 'Gaza']",bbc,unclear,0.0,Palestinian suffering,none,0,Hamas,2023-11-27,active
Liat Beinin Atzili: US citizen among 16 Hamas hostages released,2023-11-30,"['Liat', 'Beinin', 'Atzili:', 'US', 'citizen', 'among', '16', 'Hamas', 'hostages', 'released']","['Liat', 'Beinin', 'Atzili:', 'US', 'citizen', 'among', '16', 'Hamas', 'hostage', 'released']",bbc,active,2.0,Other suffering,hamas,0,Hamas,2023-11-27,passive
Mia Schem: Wounded festival-goer in Hamas hostage video freed,2023-11-30,"['Mia', 'Schem:', 'Wounded', 'festival-goer', 'in', 'Hamas', 'hostage', 'video', 'freed']","['Mia', 'Schem:', 'Wounded', 'festival-goer', 'in', 'Hamas', 'hostage', 'video', 'freed']",bbc,active,2.0,Other suffering,hamas,0,Hamas,2023-11-27,passive
"Shooting in Jerusalem Kills at Least 3 People, Israeli Officials Say",2023-11-30,"['Shooting', 'in', 'Jerusalem', 'Kills', 'at', 'Least', '3', 'People,', 'Israeli', 'Officials', 'Say']","['Shooting', 'in', 'Jerusalem', 'Kills', 'at', 'Least', '3', 'People,', 'Israeli', 'Officials', 'Say']",nyt,active,1.0,Israeli suffering,none,1,Israel,2023-11-27,passive
Here’s What We Know About the Hostages Released on Wednesday,2023-11-30,"['Here’s', 'What', 'We', 'Know', 'About', 'the', 'Hostages', 'Released', 'on', 'Wednesday']","['Here’s', 'What', 'We', 'Know', 'About', 'the', 'Hostages', 'Released', 'on', 'Wednesday']",nyt,active,,No suffering described,none,0,Other,2023-11-27,active
Son of Released Israeli Hostage Shares Her Experience,2023-11-30,"['Son', 'of', 'Released', 'Israeli', 'Hostage', 'Shares', 'Her', 'Experience']","['Son', 'of', 'Released', 'Israeli', 'Hostage', 'Shares', 'Her', 'Experience']",nyt,unclear,1.0,Israeli suffering,none,0,Other,2023-11-27,active
"Hostages Freed From Gaza Recount Violence, Hunger and Fear",2023-11-30,"['Hostages', 'Freed', 'From', 'Gaza', 'Recount', 'Violence,', 'Hunger', 'and', 'Fear']","['Hostages', 'Freed', 'From', 'Gaza', 'Recount', 'Violence,', 'Hunger', 'and', 'Fear']",nyt,active,0.0,Palestinian suffering,none,0,Hamas,2023-11-27,passive
Blinken Urges Israel to Take Concrete Steps to Aid Civilians as More Hostages Are Freed,2023-12-01,"['Blinken', 'Urges', 'Israel', 'to', 'Take', 'Concrete', 'Steps', 'to', 'Aid', 'Civilians', 'as', 'More', 'Hostages', 'Are', 'Freed']","['Blinken', 'Urges', 'Israel', 'to', 'Take', 'Concrete', 'Steps', 'to', 'Aid', 'Civilians', 'a', 'More', 'Hostages', 'Are', 'Freed']",nyt,passive,,No suffering described,none,0,Other,2023-11-27,active
"With the End of the Cease-Fire, Concern Grows Over the Oldest Israeli Hostages Left Behind",2023-12-01,"['With', 'the', 'End', 'of', 'the', 'Cease-Fire,', 'Concern', 'Grows', 'Over', 'the', 'Oldest', 'Israeli', 'Hostages', 'Left', 'Behind']","['With', 'the', 'End', 'of', 'the', 'Cease-Fire,', 'Concern', 'Grows', 'Over', 'the', 'Oldest', 'Israeli', 'Hostages', 'Left', 'Behind']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-11-27,active
Israel Knew Hamas’s Attack Plan More Than a Year Ago,2023-12-01,"['Israel', 'Knew', 'Hamas’s', 'Attack', 'Plan', 'More', 'Than', 'a', 'Year', 'Ago']","['Israel', 'Knew', 'Hamas’s', 'Attack', 'Plan', 'More', 'Than', 'a', 'Year', 'Ago']",nyt,unclear,,No suffering described,hamas,0,Hamas,2023-11-27,active
Some Freed Hostages Are Only Now Learning of Loved Ones’ Deaths,2023-12-01,"['Some', 'Freed', 'Hostages', 'Are', 'Only', 'Now', 'Learning', 'of', 'Loved', 'Ones’', 'Deaths']","['Some', 'Freed', 'Hostages', 'Are', 'Only', 'Now', 'Learning', 'of', 'Loved', 'Ones’', 'Deaths']",nyt,unclear,,No suffering described,none,0,Other,2023-11-27,passive
"The truce broke down over the details of further hostage and prisoner exchanges, Israeli officials say.",2023-12-01,"['The', 'truce', 'broke', 'down', 'over', 'the', 'details', 'of', 'further', 'hostage', 'and', 'prisoner', 'exchanges,', 'Israeli', 'officials', 'say.']","['The', 'truce', 'broke', 'down', 'over', 'the', 'detail', 'of', 'further', 'hostage', 'and', 'prisoner', 'exchanges,', 'Israeli', 'official', 'say.']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-11-27,active
Israel had a blueprint for the Oct. 7 attacks a year ago. Officials dismissed it.,2023-12-01,"['Israel', 'had', 'a', 'blueprint', 'for', 'the', 'Oct.', '7', 'attacks', 'a', 'year', 'ago.', 'Officials', 'dismissed', 'it.']","['Israel', 'had', 'a', 'blueprint', 'for', 'the', 'Oct.', '7', 'attack', 'a', 'year', 'ago.', 'Officials', 'dismissed', 'it.']",nyt,active,1.0,Israeli suffering,none,0,Israel,2023-11-27,active
Released Palestinians allege abuse in Israeli jails,2023-12-01,"['Released', 'Palestinians', 'allege', 'abuse', 'in', 'Israeli', 'jails']","['Released', 'Palestinians', 'allege', 'abuse', 'in', 'Israeli', 'jail']",bbc,unclear,0.0,Palestinian suffering,israel,0,Israel,2023-11-27,passive
‘The Gospel’: how Israel uses AI to select bombing targets in Gaza,2023-12-01,"['‘The', 'Gospel’:', 'how', 'Israel', 'uses', 'AI', 'to', 'select', 'bombing', 'targets', 'in', 'Gaza']","['‘The', 'Gospel’:', 'how', 'Israel', 'us', 'AI', 'to', 'select', 'bombing', 'target', 'in', 'Gaza']",guardian,active,0.0,Palestinian suffering,israel,0,Israel,2023-11-27,active
‘A betrayal’: Google workers protest Israeli military contract at vigil for ex-intern killed in airstrike,2023-12-01,"['‘A', 'betrayal’:', 'Google', 'workers', 'protest', 'Israeli', 'military', 'contract', 'at', 'vigil', 'for', 'ex-intern', 'killed', 'in', 'airstrike']","['‘A', 'betrayal’:', 'Google', 'worker', 'protest', 'Israeli', 'military', 'contract', 'at', 'vigil', 'for', 'ex-intern', 'killed', 'in', 'airstrike']",guardian,active,0.0,Palestinian suffering,israel,1,Israel,2023-11-27,active
'I’m not ready to lose hope': The hostages still in Gaza,2023-12-01,"[""'I’m"", 'not', 'ready', 'to', 'lose', ""hope':"", 'The', 'hostages', 'still', 'in', 'Gaza']","[""'I’m"", 'not', 'ready', 'to', 'lose', ""hope':"", 'The', 'hostage', 'still', 'in', 'Gaza']",bbc,active,0.0,Palestinian suffering,none,0,Hamas,2023-11-27,active
'I’m not ready to lose hope’: The hostages still in Gaza,2023-12-01,"[""'I’m"", 'not', 'ready', 'to', 'lose', 'hope’:', 'The', 'hostages', 'still', 'in', 'Gaza']","[""'I’m"", 'not', 'ready', 'to', 'lose', 'hope’:', 'The', 'hostage', 'still', 'in', 'Gaza']",bbc,active,0.0,Palestinian suffering,none,0,Hamas,2023-11-27,active
Released hostages give Tel Aviv protesters hope for those left behind.,2023-12-02,"['Released', 'hostages', 'give', 'Tel', 'Aviv', 'protesters', 'hope', 'for', 'those', 'left', 'behind.']","['Released', 'hostage', 'give', 'Tel', 'Aviv', 'protester', 'hope', 'for', 'those', 'left', 'behind.']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-11-27,active
Israel Orders Evacuations Amid ‘Intense’ Attacks on Southern Gaza,2023-12-02,"['Israel', 'Orders', 'Evacuations', 'Amid', '‘Intense’', 'Attacks', 'on', 'Southern', 'Gaza']","['Israel', 'Orders', 'Evacuations', 'Amid', '‘Intense’', 'Attacks', 'on', 'Southern', 'Gaza']",nyt,unclear,0.0,Palestinian suffering,israel,0,Israel,2023-11-27,active
UK launches surveillance flights to find Hamas hostages,2023-12-02,"['UK', 'launches', 'surveillance', 'flights', 'to', 'find', 'Hamas', 'hostages']","['UK', 'launch', 'surveillance', 'flight', 'to', 'find', 'Hamas', 'hostage']",bbc,active,0.0,Palestinian suffering,uk,0,Other,2023-11-27,active
"Israeli airstrikes hit near Damascus, says Syria – as it happened",2023-12-02,"['Israeli', 'airstrikes', 'hit', 'near', 'Damascus,', 'says', 'Syria', '–', 'as', 'it', 'happened']","['Israeli', 'airstrikes', 'hit', 'near', 'Damascus,', 'say', 'Syria', '–', 'a', 'it', 'happened']",guardian,active,,No suffering described,israel,0,Israel,2023-11-27,passive
Over 60 Journalists Have Been Killed in the Israel-Gaza War. My Friend Was One.,2023-12-03,"['Over', '60', 'Journalists', 'Have', 'Been', 'Killed', 'in', 'the', 'Israel-Gaza', 'War.', 'My', 'Friend', 'Was', 'One.']","['Over', '60', 'Journalists', 'Have', 'Been', 'Killed', 'in', 'the', 'Israel-Gaza', 'War.', 'My', 'Friend', 'Was', 'One.']",nyt,passive,0.0,Palestinian suffering,none,1,Other,2023-11-27,passive
Further Israel-Hamas truce talks ‘reach dead end’ – as it happened,2023-12-03,"['Further', 'Israel-Hamas', 'truce', 'talks', '‘reach', 'dead', 'end’', '–', 'as', 'it', 'happened']","['Further', 'Israel-Hamas', 'truce', 'talk', '‘reach', 'dead', 'end’', '–', 'a', 'it', 'happened']",guardian,active,,No suffering described,none,0,Other,2023-11-27,active
Why is the Israel-Hamas conflict so deadly for journalists? – podcast,2023-12-04,"['Why', 'is', 'the', 'Israel-Hamas', 'conflict', 'so', 'deadly', 'for', 'journalists?', '–', 'podcast']","['Why', 'is', 'the', 'Israel-Hamas', 'conflict', 'so', 'deadly', 'for', 'journalists?', '–', 'podcast']",guardian,unclear,,No suffering described,none,0,Other,2023-12-04,active
What We Know About Sexual Violence During the Oct. 7 Attacks on Israel,2023-12-04,"['What', 'We', 'Know', 'About', 'Sexual', 'Violence', 'During', 'the', 'Oct.', '7', 'Attacks', 'on', 'Israel']","['What', 'We', 'Know', 'About', 'Sexual', 'Violence', 'During', 'the', 'Oct.', '7', 'Attacks', 'on', 'Israel']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-12-04,active
"'Wounded child, no surviving family': The pain of Gaza’s orphans",2023-12-04,"[""'Wounded"", 'child,', 'no', 'surviving', ""family':"", 'The', 'pain', 'of', 'Gaza’s', 'orphans']","[""'Wounded"", 'child,', 'no', 'surviving', ""family':"", 'The', 'pain', 'of', 'Gaza’s', 'orphan']",bbc,unclear,0.0,Palestinian suffering,none,0,Other,2023-12-04,active
‘Can I Walk Outside of the Room?’ Israeli Doctors Help Child Hostages Return Home,2023-12-05,"['‘Can', 'I', 'Walk', 'Outside', 'of', 'the', 'Room?’', 'Israeli', 'Doctors', 'Help', 'Child', 'Hostages', 'Return', 'Home']","['‘Can', 'I', 'Walk', 'Outside', 'of', 'the', 'Room?’', 'Israeli', 'Doctors', 'Help', 'Child', 'Hostages', 'Return', 'Home']",nyt,active,1.0,Israeli suffering,none,0,Israel,2023-12-04,active
Hospital in Khan Younis Crowded With Wounded Amid Israeli Attacks,2023-12-05,"['Hospital', 'in', 'Khan', 'Younis', 'Crowded', 'With', 'Wounded', 'Amid', 'Israeli', 'Attacks']","['Hospital', 'in', 'Khan', 'Younis', 'Crowded', 'With', 'Wounded', 'Amid', 'Israeli', 'Attacks']",nyt,active,0.0,Palestinian suffering,israel,0,Israel,2023-12-04,active
E.U. Official Cites Big Risk of Terror Attacks in Europe Because of Gaza War,2023-12-05,"['E.U.', 'Official', 'Cites', 'Big', 'Risk', 'of', 'Terror', 'Attacks', 'in', 'Europe', 'Because', 'of', 'Gaza', 'War']","['E.U.', 'Official', 'Cites', 'Big', 'Risk', 'of', 'Terror', 'Attacks', 'in', 'Europe', 'Because', 'of', 'Gaza', 'War']",nyt,active,2.0,Other suffering,none,0,Other,2023-12-04,active
Hamas hostages: Stories of the people taken from Israel,2023-12-06,"['Hamas', 'hostages:', 'Stories', 'of', 'the', 'people', 'taken', 'from', 'Israel']","['Hamas', 'hostages:', 'Stories', 'of', 'the', 'people', 'taken', 'from', 'Israel']",bbc,unclear,1.0,Israeli suffering,hamas,0,Hamas,2023-12-04,active
"Israel hostages in Gaza: We have evidence their health worsening, say families",2023-12-06,"['Israel', 'hostages', 'in', 'Gaza:', 'We', 'have', 'evidence', 'their', 'health', 'worsening,', 'say', 'families']","['Israel', 'hostage', 'in', 'Gaza:', 'We', 'have', 'evidence', 'their', 'health', 'worsening,', 'say', 'family']",bbc,active,1.0,Israeli suffering,none,0,Hamas,2023-12-04,active
Israel Says It Has Killed 5 Hamas Commanders,2023-12-06,"['Israel', 'Says', 'It', 'Has', 'Killed', '5', 'Hamas', 'Commanders']","['Israel', 'Says', 'It', 'Has', 'Killed', '5', 'Hamas', 'Commanders']",nyt,active,0.0,Palestinian suffering,israel,1,Israel,2023-12-04,active
Families of Hamas Hostages Warn That Time Is Running Out,2023-12-06,"['Families', 'of', 'Hamas', 'Hostages', 'Warn', 'That', 'Time', 'Is', 'Running', 'Out']","['Families', 'of', 'Hamas', 'Hostages', 'Warn', 'That', 'Time', 'Is', 'Running', 'Out']",nyt,active,0.0,Palestinian suffering,none,0,Hamas,2023-12-04,active
Issam Abdallah: Rights groups want Israel investigated over killed journalist,2023-12-07,"['Issam', 'Abdallah:', 'Rights', 'groups', 'want', 'Israel', 'investigated', 'over', 'killed', 'journalist']","['Issam', 'Abdallah:', 'Rights', 'group', 'want', 'Israel', 'investigated', 'over', 'killed', 'journalist']",bbc,active,0.0,Palestinian suffering,israel,1,Israel,2023-12-04,passive
Israel Says It Detained Hundreds of Terrorism Suspects in Gaza,2023-12-07,"['Israel', 'Says', 'It', 'Detained', 'Hundreds', 'of', 'Terrorism', 'Suspects', 'in', 'Gaza']","['Israel', 'Says', 'It', 'Detained', 'Hundreds', 'of', 'Terrorism', 'Suspects', 'in', 'Gaza']",nyt,active,0.0,Palestinian suffering,israel,0,Israel,2023-12-04,active
Israel war cabinet minister's son killed in Gaza fighting,2023-12-07,"['Israel', 'war', 'cabinet', ""minister's"", 'son', 'killed', 'in', 'Gaza', 'fighting']","['Israel', 'war', 'cabinet', ""minister's"", 'son', 'killed', 'in', 'Gaza', 'fighting']",bbc,active,1.0,Israeli suffering,none,1,Hamas,2023-12-04,passive
"Killing of Reuters Journalist Was ‘Apparently Deliberate’ Israeli Strike, Group Says",2023-12-07,"['Killing', 'of', 'Reuters', 'Journalist', 'Was', '‘Apparently', 'Deliberate’', 'Israeli', 'Strike,', 'Group', 'Says']","['Killing', 'of', 'Reuters', 'Journalist', 'Was', '‘Apparently', 'Deliberate’', 'Israeli', 'Strike,', 'Group', 'Says']",nyt,active,0.0,Palestinian suffering,israel,1,Israel,2023-12-04,passive
You Can’t Fix Immigration While Holding Ukraine Hostage,2023-12-07,"['You', 'Can’t', 'Fix', 'Immigration', 'While', 'Holding', 'Ukraine', 'Hostage']","['You', 'Can’t', 'Fix', 'Immigration', 'While', 'Holding', 'Ukraine', 'Hostage']",nyt,unclear,2.0,Other suffering,none,0,Other,2023-12-04,active
Son of Israeli War Cabinet Member Killed in Action in Gaza,2023-12-07,"['Son', 'of', 'Israeli', 'War', 'Cabinet', 'Member', 'Killed', 'in', 'Action', 'in', 'Gaza']","['Son', 'of', 'Israeli', 'War', 'Cabinet', 'Member', 'Killed', 'in', 'Action', 'in', 'Gaza']",nyt,active,1.0,Israeli suffering,none,1,Hamas,2023-12-04,passive
Hamas claims Israeli operation ended in hostage death,2023-12-08,"['Hamas', 'claims', 'Israeli', 'operation', 'ended', 'in', 'hostage', 'death']","['Hamas', 'claim', 'Israeli', 'operation', 'ended', 'in', 'hostage', 'death']",bbc,active,1.0,Israeli suffering,israel,0,Israel,2023-12-04,passive
Palestinians mourn writer killed in air strike,2023-12-08,"['Palestinians', 'mourn', 'writer', 'killed', 'in', 'air', 'strike']","['Palestinians', 'mourn', 'writer', 'killed', 'in', 'air', 'strike']",bbc,active,0.0,Palestinian suffering,none,1,Other,2023-12-04,passive
Video shows stripped Palestinian men detained in Gaza,2023-12-08,"['Video', 'shows', 'stripped', 'Palestinian', 'men', 'detained', 'in', 'Gaza']","['Video', 'show', 'stripped', 'Palestinian', 'men', 'detained', 'in', 'Gaza']",bbc,active,0.0,Palestinian suffering,none,0,Israel,2023-12-04,passive
Both Israel and Hamas Tell of Failed Attempt to Rescue Hostages in Gaza,2023-12-09,"['Both', 'Israel', 'and', 'Hamas', 'Tell', 'of', 'Failed', 'Attempt', 'to', 'Rescue', 'Hostages', 'in', 'Gaza']","['Both', 'Israel', 'and', 'Hamas', 'Tell', 'of', 'Failed', 'Attempt', 'to', 'Rescue', 'Hostages', 'in', 'Gaza']",nyt,unclear,,No suffering described,none,0,Other,2023-12-04,active
My Son Has Been Held Hostage by Hamas for 65 Days and Counting,2023-12-10,"['My', 'Son', 'Has', 'Been', 'Held', 'Hostage', 'by', 'Hamas', 'for', '65', 'Days', 'and', 'Counting']","['My', 'Son', 'Has', 'Been', 'Held', 'Hostage', 'by', 'Hamas', 'for', '65', 'Days', 'and', 'Counting']",nyt,passive,1.0,Israeli suffering,none,0,Hamas,2023-12-04,active
Video shows Gaza detainees allegedly 'surrendering guns' - what we know,2023-12-10,"['Video', 'shows', 'Gaza', 'detainees', 'allegedly', ""'surrendering"", ""guns'"", '-', 'what', 'we', 'know']","['Video', 'show', 'Gaza', 'detainee', 'allegedly', ""'surrendering"", ""guns'"", '-', 'what', 'we', 'know']",bbc,active,0.0,Palestinian suffering,none,0,Other,2023-12-04,passive
"‘I left my good friends’: In videos shown in Tel Aviv, freed hostages share their stories.",2023-12-10,"['‘I', 'left', 'my', 'good', 'friends’:', 'In', 'videos', 'shown', 'in', 'Tel', 'Aviv,', 'freed', 'hostages', 'share', 'their', 'stories.']","['‘I', 'left', 'my', 'good', 'friends’:', 'In', 'video', 'shown', 'in', 'Tel', 'Aviv,', 'freed', 'hostage', 'share', 'their', 'stories.']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-12-04,active
Manchester scientist escapes Gaza after threat of attack,2023-12-10,"['Manchester', 'scientist', 'escapes', 'Gaza', 'after', 'threat', 'of', 'attack']","['Manchester', 'scientist', 'escape', 'Gaza', 'after', 'threat', 'of', 'attack']",bbc,active,2.0,Other suffering,none,0,Other,2023-12-04,active
"Shlomo Avineri, Israeli Scholar Skeptical About Peace, Dies at 90",2023-12-10,"['Shlomo', 'Avineri,', 'Israeli', 'Scholar', 'Skeptical', 'About', 'Peace,', 'Dies', 'at', '90']","['Shlomo', 'Avineri,', 'Israeli', 'Scholar', 'Skeptical', 'About', 'Peace,', 'Dies', 'at', '90']",nyt,active,,No suffering described,none,1,Other,2023-12-04,active
Israeli Mother Describes Her 52 Days as a Hamas Hostage,2023-12-12,"['Israeli', 'Mother', 'Describes', 'Her', '52', 'Days', 'as', 'a', 'Hamas', 'Hostage']","['Israeli', 'Mother', 'Describes', 'Her', '52', 'Days', 'a', 'a', 'Hamas', 'Hostage']",nyt,active,1.0,Israeli suffering,none,0,Hamas,2023-12-11,active
Israel Announces Discovery of Two Hostages’ Bodies in Gaza,2023-12-12,"['Israel', 'Announces', 'Discovery', 'of', 'Two', 'Hostages’', 'Bodies', 'in', 'Gaza']","['Israel', 'Announces', 'Discovery', 'of', 'Two', 'Hostages’', 'Bodies', 'in', 'Gaza']",nyt,active,1.0,Israeli suffering,none,0,Israel,2023-12-11,active
Biden Plans to Meet the Families of American Hostages Taken by Hamas,2023-12-12,"['Biden', 'Plans', 'to', 'Meet', 'the', 'Families', 'of', 'American', 'Hostages', 'Taken', 'by', 'Hamas']","['Biden', 'Plans', 'to', 'Meet', 'the', 'Families', 'of', 'American', 'Hostages', 'Taken', 'by', 'Hamas']",nyt,unclear,2.0,Other suffering,none,0,Hamas,2023-12-11,active
Eyal Waldman: Israeli tech billionaire hopes for peace despite daughter's killing,2023-12-12,"['Eyal', 'Waldman:', 'Israeli', 'tech', 'billionaire', 'hopes', 'for', 'peace', 'despite', ""daughter's"", 'killing']","['Eyal', 'Waldman:', 'Israeli', 'tech', 'billionaire', 'hope', 'for', 'peace', 'despite', ""daughter's"", 'killing']",bbc,active,1.0,Israeli suffering,none,1,Other,2023-12-11,active
"Israel losing global support over Gaza bombing, Biden says",2023-12-12,"['Israel', 'losing', 'global', 'support', 'over', 'Gaza', 'bombing,', 'Biden', 'says']","['Israel', 'losing', 'global', 'support', 'over', 'Gaza', 'bombing,', 'Biden', 'say']",bbc,active,0.0,Palestinian suffering,none,0,Israel,2023-12-11,active
The U.S. criticizes Israel for ‘indiscriminate’ bombing in Gaza.,2023-12-13,"['The', 'U.S.', 'criticizes', 'Israel', 'for', '‘indiscriminate’', 'bombing', 'in', 'Gaza.']","['The', 'U.S.', 'criticizes', 'Israel', 'for', '‘indiscriminate’', 'bombing', 'in', 'Gaza.']",nyt,active,0.0,Palestinian suffering,israel,0,Israel,2023-12-11,active
"Held Hostage in Gaza, a Thai Worker’s Prayers for Freedom Come True",2023-12-13,"['Held', 'Hostage', 'in', 'Gaza,', 'a', 'Thai', 'Worker’s', 'Prayers', 'for', 'Freedom', 'Come', 'True']","['Held', 'Hostage', 'in', 'Gaza,', 'a', 'Thai', 'Worker’s', 'Prayers', 'for', 'Freedom', 'Come', 'True']",nyt,active,2.0,Other suffering,none,0,Hamas,2023-12-11,active
‘She Gave Me Hope’: Thai Hostage’s Friendship With an Israeli Child,2023-12-13,"['‘She', 'Gave', 'Me', 'Hope’:', 'Thai', 'Hostage’s', 'Friendship', 'With', 'an', 'Israeli', 'Child']","['‘She', 'Gave', 'Me', 'Hope’:', 'Thai', 'Hostage’s', 'Friendship', 'With', 'an', 'Israeli', 'Child']",nyt,active,1.0,Israeli suffering,none,0,Hamas,2023-12-11,active
Second Tanzanian Is Confirmed Killed in Oct. 7 Attacks in Israel,2023-12-14,"['Second', 'Tanzanian', 'Is', 'Confirmed', 'Killed', 'in', 'Oct.', '7', 'Attacks', 'in', 'Israel']","['Second', 'Tanzanian', 'Is', 'Confirmed', 'Killed', 'in', 'Oct.', '7', 'Attacks', 'in', 'Israel']",nyt,passive,2.0,Other suffering,none,1,Other,2023-12-11,passive
Germany Accuses Four Men It Links to Hamas of Plotting Attacks on Jews,2023-12-14,"['Germany', 'Accuses', 'Four', 'Men', 'It', 'Links', 'to', 'Hamas', 'of', 'Plotting', 'Attacks', 'on', 'Jews']","['Germany', 'Accuses', 'Four', 'Men', 'It', 'Links', 'to', 'Hamas', 'of', 'Plotting', 'Attacks', 'on', 'Jews']",nyt,active,2.0,Other suffering,hamas,0,Hamas,2023-12-11,active
